company,job_title,company_rating,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
ABB,Junior Data Analyst,4,Bengaluru,325236,/yr (est.),10000+ Employees,1883,Company - Public,Electronics Manufacturing,Electronics Manufacturing,$10+ billion (USD),3.7,3.6,4,3.5,3.9
Philips,Data Scientist - AI/ML,4,Bengaluru,0,Unknown,10000+ Employees,1891,Company - Public,Healthcare Services & Hospitals,Healthcare Services & Hospitals,$10+ billion (USD),3.8,3.7,4,3.5,4
HSBC,Data Science GSC’s,3.9,Bengaluru,0,Unknown,10000+ Employees,1865,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),3.6,3.6,3.8,3.4,3.7
Facctum Solutions,Data Analyst,,Karnataka,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
JPMorgan Chase & Co,Data and Analytics - Associate,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Sanfoundry,Data Scientist - Fresher,,Hyderābād,416516,/yr (est.),1 to 50 Employees,Unknown,Self-employed,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Beinex,Trainee in Data Science,3.9,Cochin,280977,/yr (est.),201 to 500 Employees,2017,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,3.8,3.6,3.9,3.9,3.5
Sanfoundry,Junior Software Engineer - Data Science - Fresher,,Hyderābād,382623,/yr (est.),1 to 50 Employees,Unknown,Self-employed,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Oracle,Data Scientist,3.8,Bengaluru,709930,/yr (est.),10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$10+ billion (USD),3.6,3.5,3.7,3.5,4
PhonePe,Data Scientist,4.1,Bengaluru,1024695,/yr (est.),5001 to 10000 Employees,2015,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,4,4.2,4.1,3.7,3.8
Hyqoo,Data Annotator,4.5,Remote,0,Unknown,51 to 200 Employees,2018,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,4.3,4.1,4.5,4.2,3.9
BigShyft,Data Scientist,3.9,Bengaluru,2000000,/yr (est.),1 to 50 Employees,2018,Company - Private,HR Consulting,HR Consulting,Less than $1 million (USD),3.7,3.8,3.5,3.3,3.1
Findem,Researcher - Data Operations Intern,4.3,Remote,9000,/mo (est.),51 to 200 Employees,2019,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,4.2,4.3,4.1,4.2,4
Sanfoundry,Junior Data Scientist,,Hyderābād,0,Unknown,1 to 50 Employees,Unknown,Self-employed,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
News Corp,Data Analyst,3.6,Bengaluru,522206,/yr (est.),10000+ Employees,2013,Company - Public,Publishing,Publishing,$5 to $10 billion (USD),3.5,3.4,3.3,3.2,3.5
"Medpace, Inc.",Clinical Data Coder,3.4,Thāne,579224,/yr (est.),5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
Infosys,Data Scientist,3.8,Bengaluru,0,Unknown,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.8,3,4,3.5,3.7
Microsoft,Data Annotation Specialist,4.2,Hyderābād,317979,/yr (est.),10000+ Employees,1975,Company - Public,Computer Hardware Development,Computer Hardware Development,$10+ billion (USD),4,4.1,4.2,3.8,4.1
Skyla Software Solution,Data Entry Operator,,Jamshedpur,84853,/yr (est.),1 to 50 Employees,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,4,3,5,4,2
TVS Supply Chain Solutions,Data Entry Operator,3.4,Bengaluru,255288,/yr (est.),501 to 1000 Employees,Unknown,Company - Private,Shipping & Trucking,Shipping & Trucking,Unknown / Non-Applicable,3.2,2.9,3,3,3
Nissan,Data Engineer I,3.9,Thiruvananthapuram,443415,/yr (est.),10000+ Employees,1933,Company - Public,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing,$2 to $5 billion (USD),3.6,3.7,3.7,3.5,3.4
SatSure Analytics India,Data Scientist Intern,,Bengaluru,0,Unknown,51 to 200 Employees,2017,Company - Private,Aerospace & Defence,Aerospace & Defence,Unknown / Non-Applicable,4.7,3.8,4.4,4.3,3.9
Sanfoundry,Data Scientist - Python/ Machine Learning,,Mumbai,0,Unknown,1 to 50 Employees,Unknown,Self-employed,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
MathCo,Associate - Data Science,3.5,Bengaluru,876519,/yr (est.),1001 to 5000 Employees,2016,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,3.6,3.4,3.6,3.2,2.9
Amex,Analyst - Data Analytics,4.2,Gurgaon,482311,/yr (est.),10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Transaction Processing,$10+ billion (USD),3.8,4,4.2,3.8,4.1
KPMG,Digital Trust S&G-Data Privacy and Ethics Analyst,3.8,Gurgaon,495831,/yr (est.),10000+ Employees,1987,Company - Private,Business Consulting,Business Consulting,$2 to $5 billion (USD),4,3.3,3.7,3.5,3
Dow Jones,Summer 2024 Internship - Data & AI (APAC),3.8,Delhi,0,Unknown,5001 to 10000 Employees,1882,Subsidiary or Business Segment,Broadcast Media,Broadcast Media,$500 million to $1 billion (USD),3.3,3.4,3.7,3.2,4
Infosys,Healthcare Data Analyst,3.8,Chennai,533713,/yr (est.),10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.8,3,4,3.5,3.7
Uptricks Services Pvt. Ltd.,Data Science Internship,4.3,Remote,0,Unknown,51 to 200 Employees,2013,Self-employed,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),3.9,3.8,3.9,3.9,3.9
JPMorgan Chase & Co,Data Analyst,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Alcon,Data Analyst - Digital Health,3.8,Bengaluru,784161,/yr (est.),10000+ Employees,1945,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 billion (USD),3.4,3.9,3.6,3.3,3.5
Philips,Data Scientist - Image Processing,4,Bengaluru,0,Unknown,10000+ Employees,1891,Company - Public,Healthcare Services & Hospitals,Healthcare Services & Hospitals,$10+ billion (USD),3.8,3.7,4,3.5,4
Deutsche Bank,Data Scientist,4,Pune,595940,/yr (est.),10000+ Employees,1870,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),3.9,3.8,4.1,3.7,4.1
Wipro,Data Analyst,3.7,Bengaluru,494975,/yr (est.),10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology Support Services,$5 to $10 billion (USD),3.6,3.2,3.7,3.3,3.5
NatWest Group,"Data Analyst, AVP",4.1,Gurgaon,579938,/yr (est.),10000+ Employees,1727,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),3.7,3.5,4.2,3.7,4.3
Sanfoundry,Data Scientist,,Gurgaon,469574,/yr (est.),1 to 50 Employees,Unknown,Self-employed,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Telstra,Data Insights & Analytics Analyst,3.9,Bengaluru,1014936,/yr (est.),10000+ Employees,1901,Company - Public,Telecommunications Services,Telecommunications Services,$10+ billion (USD),3.6,3.7,3.9,3.5,4.2
Bullsmart,Data Scientist,,Bengaluru,3100000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Leventm Technologies,Data Analysis,,Bengaluru,480625,/yr (est.),1 to 50 Employees,2018,Company - Private,Information Technology Support Services,Information Technology Support Services,Less than $1 million (USD),,,,,
BMC Software,Data Scientist,4.1,Pune,712088,/yr (est.),5001 to 10000 Employees,1980,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$2 to $5 billion (USD),3.8,4.1,4.1,3.8,4
Reliance Games,Data Analytics,3.5,Pune,469012,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Video Game Publishing,Video Game Publishing,Unknown / Non-Applicable,3.8,3.2,3.4,2.9,3.1
Hypersonix,Data Annotator - Contractor,5,Remote,0,Unknown,1 to 50 Employees,2019,Company - Private,Aerospace & Defence,Aerospace & Defence,Unknown / Non-Applicable,5,4,4.7,4.7,4.3
FinAdvantage,FACPL_048 - Data Analyst,,Bengaluru,1100000,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,2,2,1,2,1
Unknown,Data Associate,3.9,Bengaluru,500799,/yr (est.),10000+ Employees,1900,Company - Public,Research & Development,Research & Development,$2 to $5 billion (USD),3.4,3.4,3.8,3.4,3.7
eminenture,Data Analyst,,Delhi,0,Unknown,51 to 200 Employees,2011,Company - Private,Information Technology Support Services,Information Technology Support Services,$1 to $5 million (USD),3.9,3.4,3.9,3.7,3.7
Intercontinental Exchange,Data Analyst I,3.8,Hyderābād,469042,/yr (est.),5001 to 10000 Employees,2000,Company - Public,Stock Exchanges,Stock Exchanges,$5 to $10 billion (USD),3.5,3.7,3.5,3.3,3.6
Infifresh Foods,Data Analyst,3.6,Bengaluru,948683,/yr (est.),Unknown,2019,Company - Private,Fishery,Fishery,Unknown / Non-Applicable,3.5,3.6,3.6,3.2,3.4
Coforge Ltd.,DATA ANALYST,3.6,Greater Noida,781721,/yr (est.),10000+ Employees,2004,Company - Public,Information Technology Support Services,Information Technology Support Services,$500 million to $1 billion (USD),3.4,3.3,3.5,3.2,3.5
"Medpace, Inc.",Data Coordinator,3.4,Thāne,589237,/yr (est.),5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
Valenta BPO,Data Analyst,3.2,Bengaluru,550000,/yr (est.),51 to 200 Employees,2014,Company - Private,HR Consulting,HR Consulting,Unknown / Non-Applicable,3.2,2.7,3.1,3.1,3.6
PhonePe,Senior Data Analyst,4.1,Bengaluru,777892,/yr (est.),5001 to 10000 Employees,2015,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,4,4.2,4.1,3.7,3.8
Tata Consultancy Services,"Data Science, Python, GraphDB",3.8,Bengaluru,648074,/yr (est.),10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Syneos Health Clinical,Data Scientist I,3.8,Remote,0,Unknown,10000+ Employees,Unknown,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,3.5,3.5,3.8,3.5,3.9
Tata Consultancy Services,Employee Data Governance!,3.8,Bengaluru,536656,/yr (est.),10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Lloyds Technology Centre,Data Analyst,3.3,Hyderābād,0,Unknown,10000+ Employees,1695,Company - Public,Banking & Lending,Banking & Lending,Unknown / Non-Applicable,3.2,3.4,3.2,2.9,3.2
Infosys,Data Privacy_Consulting,3.8,Bengaluru,720103,/yr (est.),10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.8,3,4,3.5,3.7
Tata Technologies Europe,ALM Users - Data Mining,3.8,Bengaluru,789523,/yr (est.),10000+ Employees,1989,Company - Private,Research & Development,Research & Development,$100 to $500 million (USD),3.6,3.4,3.8,3.4,3.8
JLL,Sustainability Data Analyst,3.9,Bengaluru,0,Unknown,10000+ Employees,Unknown,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),3.7,3.5,3.8,3.5,3.7
"Medpace, Inc.",Clinical Data Reviewer,3.4,Thāne,648398,/yr (est.),5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
Sectigo,Data Analyst,3.4,Chennai,636962,/yr (est.),201 to 500 Employees,2008,Company - Private,Computer Hardware Development,Computer Hardware Development,Unknown / Non-Applicable,3,2.9,3,3,3.3
Indium Software Inc.,Data Analyst,,Bengaluru,900000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Digital Suncity,Data Entry Clerk,,Remote,5000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Wrike Careers Page,Customer Support Data Analyst,3.8,Bengaluru,562146,/yr (est.),1001 to 5000 Employees,2006,Company - Private,Software Development,Software Development,Unknown / Non-Applicable,3.4,3.7,3.9,3.3,4.1
HealthPlix Technologies,Junior Data Scientist,,Bengaluru,1250000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Suvizion Infotech,Clinical Data Coordinator,,Remote,325000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
WovV Technologies,Data Engineer (WFH),4.7,Remote,1000000,/yr (est.),Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,4.5,4.5,4.6,4.6,4.6
Rotork,Data Analyst,3.7,Chennai,569738,/yr (est.),1001 to 5000 Employees,Unknown,Company - Public,Electronics Manufacturing,Electronics Manufacturing,$500 million to $1 billion (USD),3.5,3.2,3.5,3.4,3.9
Pocketly Infotech Private Limited,Data Analyst,,Bengaluru,950000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Accenture,Clinical Data Svs Associate,4,Bengaluru,0,Unknown,10000+ Employees,1989,Company - Public,Business Consulting,Business Consulting,$10+ billion (USD),4,3.7,4,3.6,3.6
Wipro Limited,Data Privacy/Data Analyst,3.7,Bengaluru,494975,/yr (est.),10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology Support Services,$5 to $10 billion (USD),3.6,3.2,3.7,3.3,3.5
Giixa Infotech Pvt Ltd,Data Analyst (Lead Generation),,Remote,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Windmill Smart Solutions,Data Scientist,3.6,Remote,0,Unknown,51 to 200 Employees,2012,Company - Private,Business Consulting,Business Consulting,$5 to $25 million (USD),3.7,3.6,3.6,3.4,3.8
Nielsen,Data Scientist,3.6,Bengaluru,615061,/yr (est.),10000+ Employees,1923,Company - Public,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$5 to $10 billion (USD),3.2,3.2,3.7,3.1,3.8
Indium Software Inc.,Data Scientist,,Bengaluru,2500000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Fractal Analytics,Cloud Data Engineer,4,Bengaluru,881722,/yr (est.),1001 to 5000 Employees,2000,Company - Private,Business Consulting,Business Consulting,$100 to $500 million (USD),4,3.7,4.2,3.8,3.9
Kodehash Technologies Pvt Ltd,Data Engineer,,Remote,950000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
HP,Data Analyst,4.1,Bengaluru,869528,/yr (est.),10000+ Employees,1939,Company - Public,Computer Hardware Development,Computer Hardware Development,Unknown / Non-Applicable,3.7,3.7,4.3,3.8,4.2
CityLink Technology Solutions,Data Scientist,3.7,Pune,529150,/yr (est.),1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology Support Services,Less than $1 million (USD),4.5,2.7,3.9,3.7,4.4
Warner Bros Careers,Associate Data Engineer,3.6,Hyderābād,556230,/yr (est.),10000+ Employees,2003,Company - Public,Film Production,Film Production,$10+ billion (USD),3.1,3.6,3.4,3,3.6
NIBS,MIS Data Analyst,,Bengaluru,32500,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Cargill,Data Engineer,4.1,Bengaluru,811773,/yr (est.),10000+ Employees,1865,Company - Private,Crop Production,Crop Production,Unknown / Non-Applicable,3.8,3.9,4.1,3.6,3.8
JPMorgan Chase & Co,Reference Data Analyst - Team Leader,4,Bengaluru,657267,/yr (est.),10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Market Expertise,Data Research Analyst,,Pune,304180,/yr (est.),51 to 200 Employees,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,4.3,4,4.1,3.9,4
ZF,Senior Data scientist,3.9,Chennai,360000,/yr (est.),10000+ Employees,1915,Company - Public,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing,$10+ billion (USD),3.6,3.7,3.7,3.3,3.8
Dyson,Junior Data Engineer,3,Bengaluru,0,Unknown,10000+ Employees,1993,Company - Private,Electronics Manufacturing,Electronics Manufacturing,Unknown / Non-Applicable,3,3.3,2.9,2.4,3
"Veranex, Inc.",Clinical Data Coordinator 2,,Bengaluru,0,Unknown,Unknown,Unknown,Company - Private,Chemical Manufacturing,Chemical Manufacturing,Unknown / Non-Applicable,3.7,3.4,3.6,3.1,4.2
ADCI MAA 12 SEZ,ML Data Associate I,3.7,Chennai,280854,/yr (est.),10000+ Employees,1994,Company - Public,Internet & Web Services,Internet & Web Services,$10+ billion (USD),3.7,3.8,3.6,3.3,3.2
Navig8 Group,Junior Data Analyst,,Mumbai,0,Unknown,201 to 500 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.1,4,3.3,3.2,3.7
CommerceIQ,Data Scientist 1,3.1,Bengaluru,424264,/yr (est.),201 to 500 Employees,2012,Company - Private,Internet & Web Services,Internet & Web Services,$25 to $50 million (USD),2.9,3.2,2.8,2.7,2.5
Mapmygenome,Data Scientist,2.8,Hyderābād,438887,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,2.9,2.4,2.5,2.5,2.2
Dexcel Electronics Designs,Data Analytics,4.4,Bengaluru,745359,/yr (est.),51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.3,4.2,4.3,4.2,4.3
JPMorgan Chase & Co,Reference Data Analyst,4,Bengaluru,657267,/yr (est.),10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Amex,Analyst-Data Science,4.2,Gurgaon,482311,/yr (est.),10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Transaction Processing,$10+ billion (USD),3.8,4,4.2,3.8,4.1
BookMyShow,Data Analyst - I,3.9,Mumbai,375292,/yr (est.),501 to 1000 Employees,1999,Company - Private,Ticket Sales,Ticket Sales,Unknown / Non-Applicable,3.8,3.5,3.6,3.5,3.4
"Opalforce, Inc.",HR Data Analyst,,Bengaluru,529150,/yr (est.),51 to 200 Employees,2001,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.5,4.5,4.5,4.5,4.5
Threshold Software Solutions,Data Science Intern,,India,17500,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Educate Girls,Data Analyst,3.8,Jaipur,900000,/yr (est.),1001 to 5000 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.4,3.6,3.5,3.2,3.5
Cloudastra Technologies,Data Scientist,,Noida,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Ignitho,Data Analyst Associate,4.3,Chennai,835332,/yr (est.),51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.4,4.1,4.3,4.1,4.4
LKQ India,Data Analyst,3.8,Bengaluru,611782,/yr (est.),10000+ Employees,1998,Company - Public,Automotive Parts & Accessories Stores,Automotive Parts & Accessories Stores,$5 to $10 billion (USD),3.7,3.6,3.9,3.6,3.9
NEAR,Big Data Analyst,4.3,Bengaluru,774730,/yr (est.),51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.2,4,4.3,3.8,4.3
Airtel India,Associate Data Scientist,4.1,India,0,Unknown,10000+ Employees,1995,Company - Public,Telecommunications Services,Telecommunications Services,$10+ billion (USD),4,3.9,3.9,3.7,3.6
Sanfoundry,Junior Machine Learning Engineer,,Remote,0,Unknown,1 to 50 Employees,Unknown,Self-employed,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Equifax,Trainee - Data Scientist,3.5,Mumbai,987421,/yr (est.),10000+ Employees,1899,Company - Public,Business Consulting,Business Consulting,$2 to $5 billion (USD),3.4,3.4,3.3,3.1,3.4
Microsoft,DATA SCIENTIST,4.2,Bengaluru,506785,/yr (est.),10000+ Employees,1975,Company - Public,Computer Hardware Development,Computer Hardware Development,$10+ billion (USD),4,4.1,4.2,3.8,4.1
Comprinno Technologies,Jr Data Science Engineer,,Remote,200000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Adfolks,Data Engineer,,Remote,0,Unknown,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.6,4,4,4.4,4.3
Staffbee Solutions Pvt. Ltd,GCP Data Engineer (Freelance),,Remote,1500,/hr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
WCG,Jr. Data & Analytics Engineer,3.2,Karnataka,0,Unknown,1001 to 5000 Employees,Unknown,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),2.7,3.1,2.7,2.5,2.8
RARR Technologies Pvt Ltd,Snowflake Data Modeler,4.7,Remote,4500000,/yr (est.),1 to 50 Employees,2018,Company - Private,Software Development,Software Development,Less than $1 million (USD),4.7,4.5,4.9,4.9,4.8
Thermo Fisher Scientific,Clinical Data Associate II,3.6,Remote,0,Unknown,10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),3.4,3.4,3.5,3.1,3.4
ZELL EDUCATION PRIVATE LIMITED,Data Analyst,,Mumbai,700000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Fractal Analytics,Data Scientist,4,Bengaluru,809278,/yr (est.),1001 to 5000 Employees,2000,Company - Private,Business Consulting,Business Consulting,$100 to $500 million (USD),4,3.7,4.2,3.8,3.9
Aptroid Consulting,Junior Data Analyst,3.8,Hyderābād,379473,/yr (est.),201 to 500 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.5,4.3,3.7,3.6,3.1
Wizikey,Junior Data Engineer (Delhi- NCR),3.7,Gurgaon,619677,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.7,3,3.6,3.4,3.6
Pratt & Whitney,Business intelligence and data analytics (PBI & RPA),3.8,Bengaluru,0,Unknown,10000+ Employees,1925,Subsidiary or Business Segment,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD),3.7,3.6,3.5,3.2,3.5
Nasim Consulting Limited and Honest Love Our Planet,Data Engineer,,Remote,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Microsoft,Applied and Data Sciences,4.2,Delhi,0,Unknown,10000+ Employees,1975,Company - Public,Computer Hardware Development,Computer Hardware Development,$10+ billion (USD),4,4.1,4.2,3.8,4.1
Infosys,FHIR Data Analyst,3.8,Bengaluru,468897,/yr (est.),10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.8,3,4,3.5,3.7
Google,"Data Scientist, Search",4.4,Bengaluru,0,Unknown,10000+ Employees,1998,Company - Public,Internet & Web Services,Internet & Web Services,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
Eduno Tech India Private Limited,Junior Data Analyst,,Rewāri,21424,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Kotak Securities,Data Analytics- Team Member,3.6,India,0,Unknown,1001 to 5000 Employees,Unknown,Company - Private,Investment & Asset Management,Investment & Asset Management,$2 to $5 billion (USD),,,,,
Quantiphi,Data Analyst,4.3,Mumbai,647159,/yr (est.),1001 to 5000 Employees,2013,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,4.1,4,4,4,3.5
Cargill,PMO Data and Reporting Analyst,4.1,Bengaluru,900000,/yr (est.),10000+ Employees,1865,Company - Private,Crop Production,Crop Production,Unknown / Non-Applicable,3.8,3.9,4.1,3.6,3.8
Infosys,"Data testing, ETL, MSD 365 exp - Trivandrum",3.8,Bengaluru,0,Unknown,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.8,3,4,3.5,3.7
Scymes Services Pvt. ltd,Reference Data Analyst,2.5,Bengaluru,22500,/mo (est.),Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,2.5,2.5,2.5,2,2
Agile CRM Inc.,Data Analyst,3.1,India,800000,/yr (est.),51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,2.9,2.8,2.8,3,2.9
Forbes Advisor,Trainee - Data Research,3.6,Mumbai,317572,/yr (est.),201 to 500 Employees,1917,Company - Private,Publishing,Publishing,Unknown / Non-Applicable,3.2,3.2,3.4,3.4,3.7
Accenture,Data Science-Data Designer,4,Bengaluru,0,Unknown,10000+ Employees,1989,Company - Public,Business Consulting,Business Consulting,$10+ billion (USD),4,3.7,4,3.6,3.6
Leegality,Data Analyst,,India,0,Unknown,51 to 200 Employees,Unknown,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.9,4.8,5,4.9,4.9
Samshek Fashion Pvt Ltd,Data Analyst,,Remote,15000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Cubera,Data Engineer- Junior,,Bengaluru,567450,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,2.5,2.5,2.5,2.5,3
JPMorgan Chase & Co,Data Management - Associate,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Airtel India,Data Analyst,4.1,Gurgaon,464758,/yr (est.),10000+ Employees,1995,Company - Public,Telecommunications Services,Telecommunications Services,$10+ billion (USD),4,3.9,3.9,3.7,3.6
Lightrains Technolabs,Data Scientist (ML & AI),,Thiruvananthapuram,547723,/yr (est.),Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Bigtick Global,Data Analytics Intern,,Bengaluru,14707,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Lemongrass Consulting,Associate Data Scientist,,India,0,Unknown,501 to 1000 Employees,2008,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,4.4,3.9,3.9,4,4.1
Calix,Salesforce Data Specialist,4.8,Bengaluru,328634,/yr (est.),1001 to 5000 Employees,1999,Company - Public,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$500 million to $1 billion (USD),4.7,4.7,4.8,4.7,4.6
